,train_gini,test_gini,train_entropy,test_entropy
2,0.645,0.635,0.645,0.635
28,0.91875,0.815,0.89875,0.795
54,0.955,0.835,0.94,0.82
80,0.97875,0.81,0.9725,0.82
106,0.995,0.81,1.0,0.84
133,1.0,0.81,1.0,0.84
159,1.0,0.81,1.0,0.84
185,1.0,0.81,1.0,0.84
211,1.0,0.81,1.0,0.84
237,1.0,0.81,1.0,0.84
264,1.0,0.81,1.0,0.84
290,1.0,0.81,1.0,0.84
316,1.0,0.81,1.0,0.84
342,1.0,0.81,1.0,0.84
368,1.0,0.81,1.0,0.84
395,1.0,0.81,1.0,0.84
421,1.0,0.81,1.0,0.84
447,1.0,0.81,1.0,0.84
473,1.0,0.81,1.0,0.84
500,1.0,0.81,1.0,0.84
