,test_acc_uniform,test_acc_distance
1,0.68,0.54
2,0.61,0.54
3,0.61,0.535
4,0.59,0.535
5,0.6,0.535
6,0.585,0.535
7,0.61,0.535
8,0.62,0.535
9,0.61,0.535
10,0.59,0.535
11,0.61,0.535
12,0.6,0.535
13,0.595,0.535
14,0.605,0.535
15,0.59,0.535
16,0.59,0.535
17,0.61,0.535
18,0.605,0.535
19,0.615,0.535
20,0.62,0.535
21,0.625,0.535
22,0.63,0.535
23,0.65,0.535
24,0.645,0.535
25,0.63,0.535
26,0.655,0.535
27,0.635,0.535
28,0.645,0.535
29,0.665,0.535
30,0.665,0.535
31,0.655,0.535
32,0.675,0.535
33,0.695,0.535
34,0.695,0.535
35,0.705,0.535
36,0.685,0.535
37,0.695,0.535
38,0.665,0.535
39,0.67,0.535
40,0.66,0.535
41,0.665,0.535
42,0.66,0.535
43,0.65,0.535
44,0.65,0.535
45,0.65,0.535
46,0.655,0.535
47,0.635,0.535
48,0.65,0.535
49,0.63,0.535
