,train_gini,test_gini,train_entropy,test_entropy
2,0.49020833333333336,0.491,0.49020833333333336,0.491
54,0.75375,0.7463333333333333,0.7431666666666666,0.7391666666666666
107,0.7765833333333333,0.7576666666666667,0.77025,0.7501666666666666
159,0.7940416666666666,0.7666666666666667,0.7857916666666667,0.7593333333333333
212,0.8054166666666667,0.7696666666666667,0.7962916666666666,0.7651666666666667
264,0.8142916666666666,0.7706666666666667,0.8027916666666667,0.7606666666666667
317,0.8220833333333334,0.7683333333333333,0.8087916666666667,0.761
369,0.8290833333333333,0.768,0.8155,0.7595
422,0.8350833333333333,0.7643333333333333,0.8212083333333333,0.762
474,0.8408333333333333,0.7631666666666667,0.825375,0.7601666666666667
527,0.84625,0.7611666666666667,0.8293333333333334,0.7565
579,0.8516666666666667,0.7601666666666667,0.8359166666666666,0.7591666666666667
632,0.857625,0.759,0.83975,0.7593333333333333
684,0.8630416666666667,0.7606666666666667,0.8427083333333333,0.7578333333333334
737,0.8674166666666666,0.7601666666666667,0.84725,0.7571666666666667
789,0.872125,0.758,0.851125,0.7575
842,0.876625,0.7575,0.8559583333333334,0.7573333333333333
894,0.881375,0.7551666666666667,0.8598333333333333,0.7551666666666667
947,0.8849166666666667,0.7528333333333334,0.8635416666666667,0.755
1000,0.8890833333333333,0.7515,0.867375,0.757
