,train_gini,test_gini,train_entropy,test_entropy
1,1.0,0.79,1.0,0.825
2,0.96875,0.81,0.9675,0.805
3,0.9475,0.86,0.95875,0.835
4,0.93,0.815,0.94125,0.84
5,0.92625,0.82,0.92875,0.815
6,0.9225,0.84,0.92375,0.805
7,0.91125,0.81,0.905,0.795
8,0.90125,0.82,0.89875,0.805
9,0.89875,0.825,0.895,0.83
10,0.895,0.835,0.88875,0.82
11,0.8925,0.82,0.88625,0.805
12,0.8925,0.82,0.885,0.8
13,0.8825,0.81,0.885,0.815
14,0.875,0.8,0.87875,0.8
15,0.875,0.8,0.87625,0.805
16,0.87375,0.8,0.87625,0.795
17,0.87375,0.8,0.87625,0.795
18,0.87375,0.8,0.87125,0.8
19,0.8725,0.79,0.87,0.78
20,0.86875,0.815,0.86875,0.8
