iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.138772809425,0.137073138051,0.513333333333,0.524,0.0364252499994
10,0.119063855985,0.11847249715,0.530666666667,0.532,0.393140169998
20,0.121804219847,0.122363460827,0.636,0.62,0.750212978999
30,0.158607848265,0.159741478092,0.484,0.476,1.104913252
40,0.114992807391,0.113782016186,0.516,0.524,1.483308516
50,0.112256907657,0.111401844389,0.516,0.528,1.865028825
60,0.106914498959,0.108018423368,0.766666666667,0.772,2.211721132
70,0.104501366658,0.105464221222,0.694666666667,0.7,2.547708795
80,0.0989702994734,0.100178062542,0.738666666667,0.744,2.874025651
90,0.100221193662,0.101121063236,0.72,0.724,3.206761795
100,0.100165326245,0.10140607779,0.821333333333,0.804,3.534017395
110,0.097378096688,0.0986749569918,0.758666666667,0.748,3.85556721
120,0.0960460100555,0.0971106696931,0.777333333333,0.764,4.188359428
130,0.0988064505561,0.0996812175673,0.724,0.72,4.522319733
140,0.0956462914376,0.096449835956,0.766666666667,0.76,4.852881343
150,0.099082051253,0.100724020481,0.744,0.736,5.210589502
160,0.0988022162096,0.101598487483,0.756,0.74,5.547438763
170,0.0957216978926,0.0965084067159,0.765333333333,0.76,5.875498957
180,0.0899250260288,0.0911573071142,0.808,0.812,6.199985172
190,0.10260017444,0.102923604132,0.706666666667,0.712,6.533318589
200,0.0956518222388,0.0963715836041,0.712,0.724,6.868012729
210,0.0887086905748,0.0904107971759,0.785333333333,0.78,7.199271246
220,0.0943292055658,0.0953819561053,0.761333333333,0.756,7.522822505
230,0.0865003413839,0.0884202651639,0.825333333333,0.812,7.848295492
240,0.0961356402109,0.0966992923772,0.786666666667,0.78,8.170467988
250,0.0907149779759,0.0926534216837,0.812,0.82,8.493810687
260,0.08799971881,0.0902773497691,0.810666666667,0.8,8.80846827
270,0.0940637828823,0.0947999751364,0.806666666667,0.808,9.140209023
280,0.083478440692,0.0847026205477,0.770666666667,0.768,9.463798068
290,0.0834171319182,0.0842233122268,0.784,0.788,9.78273274399
300,0.0936957352926,0.0956575876501,0.752,0.724,10.106107202
310,0.089571013394,0.0901469533873,0.725333333333,0.728,10.433367861
320,0.0803017619899,0.0818592331651,0.821333333333,0.816,10.756609147
330,0.0770936417253,0.0780547588128,0.806666666667,0.808,11.083138779
340,0.0843444846782,0.0845054321968,0.766666666667,0.776,11.438903084
350,0.085236346897,0.0853079597223,0.757333333333,0.776,11.79187462
360,0.0779161772923,0.0794797369913,0.801333333333,0.792,12.146659855
370,0.0801540118774,0.081740320518,0.821333333333,0.816,12.461288655
