iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.154335608866,0.15637492611,0.484,0.476,0.000961836999977
10,0.149746047656,0.151604988455,0.484,0.476,0.010721815
20,0.128749381199,0.129582755897,0.484,0.476,0.020907267
30,0.123499448889,0.123671516344,0.484,0.476,0.0302478809999
40,0.115086131581,0.114983342475,0.484,0.476,0.0390353129999
50,0.114997247329,0.114912963212,0.484,0.476,0.048544175
60,0.114994391098,0.114912922793,0.484,0.476,0.0578484329999
70,0.112567740437,0.111825568775,0.778666666667,0.804,0.0667613109999
80,0.108858528015,0.107626624896,0.693333333333,0.724,0.0757001199999
90,0.107545277635,0.106314472957,0.712,0.74,0.084904896
100,0.106726405985,0.105462195722,0.717333333333,0.748,0.0937575589999
110,0.101257997803,0.100001706155,0.741333333333,0.764,0.102636224
120,0.101195912075,0.0999682592664,0.74,0.764,0.111913242
130,0.101102757228,0.0998063225106,0.741333333333,0.764,0.121511005
140,0.100098229098,0.0987284779449,0.736,0.752,0.130477465
150,0.0970704522666,0.0954476390974,0.752,0.772,0.139315358
160,0.0953563293213,0.093761460885,0.754666666667,0.784,0.148871204
170,0.0914599455682,0.0918731138695,0.853333333333,0.856,0.159259201
180,0.0891179642421,0.0896839675543,0.86,0.88,0.16810761
190,0.0866744845163,0.0871649998962,0.854666666667,0.872,0.176937307
200,0.0846246836171,0.0849759479891,0.856,0.872,0.186954816
210,0.0845749747001,0.0848627003558,0.850666666667,0.876,0.197140658
220,0.0845643736403,0.0848556436008,0.850666666667,0.876,0.206009122
230,0.0847066067987,0.0849974280524,0.853333333333,0.88,0.215042379
240,0.083311402601,0.0838369510004,0.856,0.868,0.224681893
250,0.0809837329859,0.0813642529056,0.853333333333,0.868,0.234667617
260,0.0795648407678,0.0800109727148,0.857333333333,0.864,0.243512881
270,0.0961158879367,0.0976205625578,0.729333333333,0.712,0.252811235
280,0.0787464866252,0.0792649146633,0.854666666667,0.852,0.262083246
290,0.0769522336297,0.0774200344355,0.854666666667,0.868,0.271280195
300,0.0749202407061,0.0755004474523,0.854666666667,0.868,0.280077878
310,0.0742734095301,0.0747493181232,0.856,0.868,0.288959507
320,0.0725469133225,0.0730703255184,0.856,0.872,0.29808288
330,0.0721080057275,0.0725875674775,0.856,0.872,0.307242491999
340,0.0717117857711,0.0721250784442,0.858666666667,0.876,0.316014607999
350,0.0709226071247,0.0712930814671,0.857333333333,0.876,0.324919859999
360,0.0715336641886,0.0722042808818,0.852,0.864,0.333625607
370,0.06975626029,0.0702173059981,0.857333333333,0.876,0.342927519999
380,0.0696117122737,0.0703379299961,0.854666666667,0.868,0.351702703
390,0.0691358201015,0.0694645490252,0.857333333333,0.876,0.361882658
400,0.0690378131939,0.069389938602,0.857333333333,0.876,0.371836356
410,0.0698650025509,0.0702902381044,0.856,0.86,0.380952180999
420,0.0617289861006,0.0617458343742,0.858666666667,0.868,0.389871673
430,0.0609036002788,0.0607771222282,0.86,0.872,0.399846555999
440,0.0597191836189,0.0594105905045,0.861333333333,0.872,0.409255109999
450,0.0593772792171,0.0590129417632,0.86,0.872,0.418807063999
460,0.0590979356132,0.0586461021317,0.86,0.872,0.427674139999
470,0.0590785667194,0.0586250181918,0.86,0.872,0.437214367999
480,0.0568321889178,0.0559993207371,0.86,0.872,0.446150328999
490,0.0581499051836,0.0582252633122,0.853333333333,0.876,0.456506323999
500,0.0563476969492,0.0555974644879,0.862666666667,0.872,0.465642053999
510,0.0561589899264,0.0554399120044,0.864,0.872,0.474958302
520,0.0551802415789,0.054397059985,0.864,0.872,0.483856545
530,0.0551002866423,0.0543084925561,0.864,0.872,0.492659496999
540,0.054713555574,0.0539304423984,0.862666666667,0.872,0.501692804
550,0.0551640739201,0.05444872966,0.854666666667,0.864,0.510868775999
560,0.0557258170154,0.0549508493695,0.864,0.872,0.519637778999
570,0.0544341002314,0.0534874543556,0.858666666667,0.872,0.528705627999
580,0.0546633890258,0.0537295593772,0.857333333333,0.872,0.537504620999
590,0.0567670110285,0.0560762498607,0.858666666667,0.876,0.54710959
600,0.0539928338879,0.0536202977945,0.86,0.868,0.555843128
610,0.0544784650534,0.0537643468671,0.858666666667,0.884,0.564830928
620,0.0686136057797,0.0688245438369,0.837333333333,0.816,0.574782001999
630,0.0527541745629,0.051708799282,0.858666666667,0.884,0.585106639999
640,0.0523183263229,0.0515133823735,0.86,0.884,0.593967878
650,0.0521903005729,0.051407147572,0.864,0.884,0.602758988
660,0.0502696398568,0.0498784885488,0.868,0.868,0.612031353
670,0.0499528338472,0.0492560375536,0.869333333333,0.876,0.621575753
680,0.0497690971189,0.0494276920523,0.864,0.876,0.630332485
690,0.0496688302721,0.0492440877688,0.864,0.876,0.639143886999
700,0.0495769563004,0.0490472158456,0.868,0.876,0.648170490999
710,0.0495325921516,0.0489880240415,0.868,0.876,0.657441005999
720,0.0495325287017,0.0489880459966,0.868,0.876,0.666345179999
730,0.0495268810744,0.0489780584666,0.865333333333,0.876,0.675182467
740,0.0494466563216,0.0488255271611,0.870666666667,0.876,0.684320733
750,0.0492261407769,0.0485465939087,0.870666666667,0.876,0.694630411
760,0.0492253933298,0.0485468123901,0.870666666667,0.876,0.703651803
770,0.0490821273467,0.0485041104912,0.870666666667,0.876,0.713645412
780,0.04908004125,0.0484987374798,0.870666666667,0.876,0.722649499
790,0.048840604767,0.0481802083324,0.870666666667,0.876,0.731845901
800,0.0483159011878,0.0482523318607,0.870666666667,0.868,0.740845444
810,0.0479569966495,0.0475522782923,0.873333333333,0.864,0.749647741
820,0.0475949383105,0.0469819726123,0.869333333333,0.88,0.758233432
830,0.047319574347,0.0469060098028,0.873333333333,0.872,0.767527197
840,0.0471573638556,0.0465623880606,0.873333333333,0.876,0.776484546
850,0.0470968318356,0.0464964764411,0.874666666667,0.876,0.785364728
860,0.0856468998959,0.0839477987793,0.721333333333,0.72,0.794304789
870,0.0469689521391,0.0464480881212,0.874666666667,0.872,0.803520647
880,0.0469678071208,0.0464080623371,0.874666666667,0.872,0.812308157
890,0.0459566516882,0.0456831320716,0.872,0.88,0.822653007
900,0.0459547975641,0.0456824548577,0.872,0.88,0.831773259
910,0.045939073631,0.0455666213813,0.874666666667,0.884,0.840903784
920,0.0465441344204,0.0456843198502,0.881333333333,0.884,0.849690655
930,0.0454572396346,0.0450375786459,0.872,0.88,0.859910354
940,0.0453260934599,0.0448470321603,0.874666666667,0.88,0.869829082
950,0.045326093541,0.0448470321603,0.874666666667,0.88,0.879016931
960,0.0453050103023,0.0448170197229,0.874666666667,0.884,0.887935599
970,0.0453050103023,0.0448170197229,0.874666666667,0.884,0.897798111
980,0.0438824043715,0.0428398834147,0.878666666667,0.9,0.906855844
990,0.043882404146,0.0428398834147,0.878666666667,0.9,0.915948394
1000,0.0906148865332,0.0948555051344,0.749333333333,0.724,0.924787514
1010,0.0437105996487,0.0428228786298,0.88,0.888,0.934446947
1020,0.0437293859498,0.0428864339829,0.88,0.884,0.943377473
1030,0.043707855017,0.0428180948301,0.88,0.888,0.952294406
1040,0.0432566204596,0.0430931088678,0.882666666667,0.884,0.961244868
1050,0.0432079360035,0.0428575221101,0.882666666667,0.892,0.97048012
1060,0.0431914564586,0.0429222502322,0.884,0.884,0.979250833
1070,0.0431838652164,0.0429309033181,0.884,0.884,0.988239103
1080,0.0429336178323,0.0433126882559,0.88,0.888,0.997513073
1090,0.0427520131186,0.0430128369132,0.882666666667,0.884,1.007024815
1100,0.0427520131186,0.0430128369132,0.882666666667,0.884,1.015950167
1110,0.0427631784174,0.0430432797031,0.881333333333,0.884,1.02474254
1120,0.0986727058898,0.0961271029532,0.714666666667,0.716,1.034668677
1130,0.0428935886907,0.0433241699461,0.878666666667,0.884,1.044948787
1140,0.0427024311622,0.0427913984949,0.882666666667,0.884,1.053719748
1150,0.042948902719,0.0434952779238,0.881333333333,0.88,1.062694145
1160,0.044297849384,0.0435962700579,0.882666666667,0.884,1.072659096
1170,0.042216503335,0.0423510572165,0.884,0.884,1.082511486
1180,0.0421800933701,0.0411032399035,0.882666666667,0.892,1.091242715
1190,0.0422211515285,0.0413581731548,0.882666666667,0.892,1.100061385
1200,0.0413228893947,0.0405727753962,0.885333333333,0.896,1.109738774
1210,0.0413228893947,0.0405727753962,0.885333333333,0.896,1.119494576
1220,0.0412445294001,0.0405594744716,0.886666666667,0.896,1.128229603
1230,0.0419604455358,0.0408705735369,0.886666666667,0.9,1.137309407
1240,0.0411380475078,0.0406453553707,0.888,0.896,1.147231996
1250,0.0413030533955,0.0405983958393,0.888,0.896,1.156494128
1260,0.0411375402079,0.0405941540822,0.886666666667,0.896,1.165413571
1270,0.0411362087272,0.0406001001068,0.886666666667,0.896,1.174468125
1280,0.0409694112251,0.0408829520976,0.888,0.896,1.183260128
1290,0.0409405907552,0.0408335089648,0.888,0.896,1.192508131
1300,0.0409388171729,0.0408286579761,0.888,0.896,1.201328705
1310,0.0410460855912,0.0411896568438,0.890666666667,0.896,1.210186353
1320,0.0408390105158,0.0407653882175,0.889333333333,0.896,1.219056457
1330,0.040678194923,0.04091634088,0.889333333333,0.896,1.228223741
1340,0.0406444219169,0.040636117139,0.889333333333,0.896,1.237007825
1350,0.0406343245411,0.0406850868404,0.888,0.896,1.245943241
1360,0.040585834918,0.0406903547477,0.888,0.896,1.254849736
1370,0.0405575144276,0.0404239340939,0.886666666667,0.896,1.263907205
1380,0.0405764212973,0.0405145871138,0.886666666667,0.896,1.272622577
1390,0.0404609322834,0.0404086714145,0.886666666667,0.896,1.282247944
1400,0.0404261814861,0.0404352209666,0.885333333333,0.896,1.291108664
1410,0.0532236366509,0.0498410880116,0.829333333333,0.856,1.300151885
1420,0.040423188469,0.0404333528276,0.885333333333,0.896,1.308957712
