iterations,fitness,time
0,1.50184559819e-06,0.00194787
10,1.53324751538e-06,0.004530158
20,1.53324751538e-06,0.006074601
30,1.57144844629e-06,0.007851366
40,1.65046862486e-06,0.009669221
50,1.68647636714e-06,0.011002287
60,1.67127483111e-06,0.012430604
70,1.67238768242e-06,0.013891141
80,1.71355215754e-06,0.015212533
90,1.73995764256e-06,0.019406886
100,1.78746509677e-06,0.020630569
110,1.78160211989e-06,0.021827261
120,1.74403498975e-06,0.024019177
130,1.74213629274e-06,0.025685678
140,1.77257208212e-06,0.027393228
150,1.77935125155e-06,0.029186087
160,1.79039506385e-06,0.030618452
170,1.79021247246e-06,0.031970082
180,1.84716391678e-06,0.033319724
190,1.80313433459e-06,0.034706794
