iterations,fitness,time
0,154.0,0.004291183
10,159.0,0.008232545
20,167.0,0.011703681
30,161.0,0.016705937
40,172.0,0.0203492
50,171.0,0.023955534
60,179.0,0.027709507
70,193.0,0.03122989
80,183.0,0.03464565
90,183.0,0.038236191
100,196.0,0.041756269
110,190.0,0.046338703
120,195.0,0.050165465
130,195.0,0.055049486
140,205.0,0.059090331
150,213.0,0.062773548
160,209.0,0.066204541
170,222.0,0.069286286
180,212.0,0.072728054
190,207.0,0.07582632
200,216.0,0.079171084
210,223.0,0.082106298
220,217.0,0.086002738
230,215.0,0.089476369
240,218.0,0.093668918
250,219.0,0.097282935
260,215.0,0.100922376
270,217.0,0.103939908
280,221.0,0.107397832
290,218.0,0.110274128
300,222.0,0.113199566
310,219.0,0.116224561
320,224.0,0.119306024
330,221.0,0.122236213
340,233.0,0.125074614
350,230.0,0.128608041
360,227.0,0.131351397
370,233.0,0.135257555
380,234.0,0.138245875
390,238.0,0.141283052
400,242.0,0.144078344
410,239.0,0.14748746
420,241.0,0.150288342
430,242.0,0.153108773
440,238.0,0.155960508
450,241.0,0.158814523
460,240.0,0.161674708
470,234.0,0.164363126
480,240.0,0.167135661
490,244.0,0.170350857
500,251.0,0.173812718
510,253.0,0.177535961
520,252.0,0.180830609
530,244.0,0.183976601
540,246.0,0.187293424
550,241.0,0.190638951
560,243.0,0.195759425
570,237.0,0.198637295
580,244.0,0.201432942
590,240.0,0.204348764
600,251.0,0.207141782
610,249.0,0.210487647
620,248.0,0.213481038
630,249.0,0.216412606
640,246.0,0.219452639
650,249.0,0.222211478
660,252.0,0.224992453
670,252.0,0.227588503
680,249.0,0.230381567
690,253.0,0.233126769
700,254.0,0.236020289
710,252.0,0.238709035
720,249.0,0.24170499
730,248.0,0.244348874
740,251.0,0.247863895
750,253.0,0.250832719
760,250.0,0.253810937
770,251.0,0.256714082
780,249.0,0.259542957
790,249.0,0.262734047
800,242.0,0.266229232
810,250.0,0.269415322
820,251.0,0.272564385
830,252.0,0.275676791
840,252.0,0.278424519
850,259.0,0.281158654
860,252.0,0.284522584
870,259.0,0.287727351
880,264.0,0.290897191
890,265.0,0.294009985
900,258.0,0.296981359
910,265.0,0.299654714
920,265.0,0.302486855
930,277.0,0.305365022
940,273.0,0.308075835
950,262.0,0.311148414
960,257.0,0.314038709
970,257.0,0.317115108
980,259.0,0.320141361
990,262.0,0.322862122
1000,262.0,0.326930879
1010,263.0,0.329767664
1020,266.0,0.332943587
1030,258.0,0.335621364
1040,261.0,0.33881322
1050,266.0,0.341516334
1060,261.0,0.344263515
1070,261.0,0.347184795
1080,262.0,0.350516702
1090,259.0,0.353834154
1100,262.0,0.357249587
1110,266.0,0.36058028
1120,264.0,0.367731454
1130,260.0,0.375236913
1140,269.0,0.379184985
1150,266.0,0.382947778
1160,270.0,0.386989889
1170,266.0,0.390293852
1180,266.0,0.394813848
1190,272.0,0.399949194
1200,268.0,0.403596824
1210,273.0,0.406771337
1220,268.0,0.410060772
1230,267.0,0.413513386
1240,268.0,0.416378466
1250,270.0,0.419179891
1260,274.0,0.422111179
1270,271.0,0.424905752
1280,268.0,0.427716287
1290,266.0,0.430544934
1300,277.0,0.433493709
1310,271.0,0.436264426
1320,278.0,0.439096653
1330,278.0,0.442268534
1340,272.0,0.445008189
1350,275.0,0.448472869
1360,277.0,0.451432993
1370,273.0,0.455164179
1380,280.0,0.45820309
1390,280.0,0.46146818
1400,282.0,0.464495987
1410,275.0,0.467811139
1420,277.0,0.470578625
1430,273.0,0.473551207
1440,273.0,0.476262991
1450,276.0,0.479022015
1460,275.0,0.48194846
1470,275.0,0.48517751
1480,274.0,0.488344687
1490,272.0,0.491362646
1500,276.0,0.494453056
1510,272.0,0.49765623
1520,277.0,0.500564348
1530,283.0,0.503878625
1540,278.0,0.506735616
1550,275.0,0.510509714
1560,283.0,0.513587777
1570,279.0,0.516924597
1580,278.0,0.519939388
1590,276.0,0.523557924
1600,275.0,0.526724488
1610,274.0,0.529749392
1620,273.0,0.532471335
1630,276.0,0.535296011
1640,276.0,0.538094744
1650,275.0,0.541239931
1660,270.0,0.54460938
1670,274.0,0.547434052
1680,268.0,0.550599475
1690,270.0,0.553628946
1700,271.0,0.556564264
1710,269.0,0.560825203
1720,270.0,0.563752688
1730,265.0,0.566663555
1740,260.0,0.569550706
1750,263.0,0.572742513
1760,261.0,0.575523191
1770,264.0,0.578313775
1780,259.0,0.5812752
1790,266.0,0.583959998
1800,265.0,0.586900112
1810,263.0,0.589650648
1820,264.0,0.592447429
1830,264.0,0.595465453
1840,272.0,0.598935757
1850,263.0,0.602197853
1860,263.0,0.60565492
1870,265.0,0.609018881
1880,264.0,0.612383359
1890,265.0,0.615582673
1900,276.0,0.618648383
1910,273.0,0.622081734
1920,273.0,0.624909178
1930,275.0,0.627758114
1940,274.0,0.630486509
1950,277.0,0.63324777
1960,272.0,0.636731052
1970,279.0,0.640447054
1980,278.0,0.643829613
1990,276.0,0.647042503
2000,275.0,0.649951212
2010,278.0,0.652942009
2020,277.0,0.655893147
2030,279.0,0.659049469
2040,276.0,0.662161676
2050,283.0,0.665213055
2060,279.0,0.668922723
2070,275.0,0.672976725
2080,270.0,0.680264633
2090,277.0,0.689354627
2100,279.0,0.693413943
2110,277.0,0.697063843
2120,279.0,0.701363628
2130,283.0,0.705857406
2140,282.0,0.710070227
2150,277.0,0.718825091
2160,273.0,0.724056233
2170,268.0,0.734181226
2180,274.0,0.740160042
2190,273.0,0.747754833
2200,280.0,0.753493283
2210,282.0,0.758155071
2220,281.0,0.76691469
2230,278.0,0.774823044
2240,282.0,0.787753831
2250,278.0,0.796822384
2260,276.0,0.808447753
2270,277.0,0.813991353
2280,281.0,0.821799754
2290,276.0,0.827723384
2300,278.0,0.834672459
2310,278.0,0.843167514
2320,280.0,0.85787339
2330,280.0,0.865208037
2340,282.0,0.874255216
2350,277.0,0.881346248
2360,277.0,0.888884154
2370,279.0,0.895650096
2380,275.0,0.898428294
2390,276.0,0.902574334
2400,276.0,0.905568794
2410,277.0,0.908950186
2420,276.0,0.916849691
2430,285.0,0.924172319
2440,276.0,0.933851185
2450,269.0,0.944011044
2460,268.0,0.954472726
2470,262.0,0.965336163
2480,262.0,0.973539182
2490,264.0,0.983739152
2500,265.0,0.995281795
2510,267.0,1.004539292
2520,271.0,1.016746373
2530,267.0,1.032930115
2540,267.0,1.042650113
2550,271.0,1.051886066
2560,271.0,1.061093201
2570,264.0,1.074651548
2580,267.0,1.078027957
2590,279.0,1.081225321
2600,270.0,1.084560376
2610,267.0,1.094115566
2620,277.0,1.101481925
2630,278.0,1.112851642
2640,276.0,1.127921088
2650,275.0,1.133695494
2660,265.0,1.137045056
2670,264.0,1.139962825
2680,270.0,1.143571619
2690,274.0,1.154392685
2700,268.0,1.15862393
2710,266.0,1.162588577
2720,272.0,1.165825263
2730,271.0,1.169550996
2740,269.0,1.175457683
2750,276.0,1.185770847
2760,275.0,1.195607459
2770,277.0,1.202352933
2780,276.0,1.214293493
2790,274.0,1.218088221
2800,276.0,1.221510394
2810,276.0,1.224624288
2820,274.0,1.22742668
2830,277.0,1.230352728
2840,270.0,1.233147345
2850,274.0,1.236151671
2860,280.0,1.238958925
2870,274.0,1.241846731
2880,274.0,1.244752624
2890,272.0,1.247781378
2900,269.0,1.250537812
2910,270.0,1.25353984
2920,267.0,1.257093183
