iterations,fitness,time
0,6560.95935215,0.191473847
10,7719.17821434,0.358063332002
20,8617.56246083,0.525664486002
30,9120.90683719,0.673513060003
40,9197.44368986,0.802094028004
50,8956.16402095,0.926836913004
60,9050.04593344,1.053555067
70,8990.01817762,1.178427891
80,8988.74387361,1.304455501
90,8998.36367936,1.442742882
100,8987.45799178,1.575478957
110,8963.40022203,1.703286454
120,8987.24383097,1.827656511
130,8957.20858454,1.951410932
140,8956.16402095,2.080215065
150,8956.16402095,2.20426171
160,8956.16402095,2.328938801
170,8974.89768223,2.453017267
180,8956.16402095,2.575829561
190,9050.04593344,2.701726918
200,8989.79847933,2.827420346
210,8956.16402095,2.950363354
220,8956.16402095,3.083630895
230,8998.36367936,3.206610178
240,8956.16402095,3.331082864
250,8956.16402095,3.457129436
260,8956.16402095,3.578022137
270,9055.00400768,3.70546225701
280,8956.16402095,3.87637070901
290,8956.16402095,4.00525085701
300,8972.41315784,4.13416722501
310,8956.16402095,4.26432236701
320,8965.53085159,4.40202991101
330,9052.99547043,4.52677429601
340,8998.36367936,4.65208107401
350,9050.04593344,4.77386323501
360,8989.66969369,4.89500343901
370,8956.16402095,5.02422450501
380,8956.16402095,5.15521462801
390,8992.7658312,5.27784566301
400,9018.75196261,5.40743633801
410,8956.16402095,5.535229474
420,8987.45799178,5.664245125
430,8987.45799178,5.804904506
440,8956.16402095,5.932850421
450,9052.99547043,6.058644952
460,9050.04593344,6.179999797
470,8963.46345987,6.302845868
480,8974.89768223,6.430335445
490,8998.36367936,6.560275489
500,8956.16402095,6.68910044701
510,9050.04593344,6.813502333
520,9018.75196261,6.944715537
530,9050.04593344,7.06683100501
540,8988.76982423,7.18950172301
550,9076.85708085,7.31962848
560,8963.40022203,7.466697153
570,8956.16402095,7.594411069
580,8956.16402095,7.735960359
590,8956.16402095,7.87182991401
600,8998.36367936,7.99583180901
610,8956.16402095,8.11728491101
620,8974.89768223,8.23863346401
630,9050.04593344,8.36178455501
640,9006.01450225,8.48645216001
650,8956.16402095,8.60878819401
660,8956.16402095,8.732533431
670,9018.75196261,8.86196575
680,8956.16402095,8.987679861
690,9018.75196261,9.11153901
700,8956.16402095,9.233564116
710,8956.16402095,9.360919097
720,8987.45799178,9.483822684
730,8956.16402095,9.605469209
740,9008.35254879,9.729566031
750,8965.53085159,9.855342254
760,9062.07042167,9.986228109
770,8998.36367936,10.118590624
780,8974.92481047,10.253249316
790,9018.75196261,10.409663112
800,9018.75196261,10.530768998
810,8956.16402095,10.658357531
820,8956.16402095,10.791217994
830,8965.53085159,10.916070021
840,9050.04593344,11.042899118
850,8971.41440024,11.183767606
860,8965.53085159,11.307522007
870,8998.36367936,11.433981997
880,9008.40695006,11.558000948
890,8987.45799178,11.688318376
900,8998.36367936,11.820284795
910,8956.16402095,11.946297258
920,9050.04593344,12.071505141
930,9050.04593344,12.195818722
940,8956.16402095,12.318250492
950,9018.75196261,12.445453653
960,8999.71333653,12.569337298
970,8956.16402095,12.697683019
980,8974.89768223,12.823270071
990,8956.16402095,12.948675716
1000,9050.04593344,13.080313808
1010,8998.36367936,13.203594296
1020,8973.52110368,13.3253396
1030,8956.16402095,13.451609166
1040,8956.16402095,13.57212204
1050,8989.86628794,13.700748946
1060,8963.40022203,13.823008335
1070,8956.16402095,13.946530643
1080,8974.89768223,14.075009169
1090,9115.8272389,14.195092615
1100,8987.45799178,14.327885444
1110,8956.16402095,14.467274575
1120,8987.45799178,14.605322962
1130,8974.89768223,14.734323404
1140,8956.16402095,14.887415295
1150,8957.18036428,15.028298193
1160,8987.45799178,15.192377707
1170,8956.16402095,15.332738273
1180,9013.10678044,15.47194998
1190,8956.16402095,15.613205481
1200,8986.98604586,15.759222736
1210,9018.75196261,15.886313546
1220,8956.16402095,16.014876619
1230,8998.36367936,16.141325096
1240,8987.45799178,16.274208462
1250,9050.04593344,16.468766012
1260,9052.60316952,16.602585544
1270,8956.16402095,16.728251334
1280,8956.16402095,16.860667522
1290,8974.89768223,16.993544544
1300,9050.04593344,17.123247683
1310,8956.16402095,17.254623685
1320,8965.54344254,17.380179069
1330,8956.16402095,17.5042586
1340,8956.16402095,17.631133099
1350,8971.26250527,17.763388868
1360,8963.40022203,17.89227599
1370,8974.89768223,18.017049083
1380,8974.89768223,18.144402393
1390,8956.16402095,18.270017743
1400,8963.40022203,18.397744695
1410,8956.16402095,18.531244969
1420,8991.97203162,18.660127329
1430,8956.16402095,18.781868908
1440,8956.16402095,18.933250895
1450,8956.16402095,19.091619245
1460,8998.36367936,19.223133048
1470,9003.80527867,19.36233961
1480,9050.04593344,19.487041067
1490,8969.56183126,19.617256018
1500,8963.40022203,19.747162512
1510,8971.60175655,19.87969217
