iterations,fitness,time
0,285.0,2.921631779
10,335.0,4.843687522
20,357.0,6.932890881
30,358.0,9.287148606
40,363.0,11.317641906
50,368.0,13.411714139
60,359.0,15.22580569
70,373.0,16.887621909
80,374.0,18.559188886
90,376.0,20.119844296
100,376.0,21.726825554
110,371.0,23.33097028
120,376.0,24.988950153
130,378.0,26.751871359
140,383.0,28.369200439
150,386.0,30.036298942
160,383.0,31.740872028
170,383.0,33.265106151
180,376.0,34.905732053
190,378.0,36.580558476
200,383.0,38.263777116
210,390.0,39.960496808
220,383.0,41.579084787
230,386.0,43.219762737
240,389.0,44.969604073
250,380.0,46.527920093
260,386.0,48.15575476
270,390.0,49.788871269
280,385.0,51.605671134
290,385.0,53.415458463
300,383.0,55.0932997
310,388.0,56.820553408
320,385.0,58.490955818
330,386.0,60.045675557
340,386.0,61.627287141
350,383.0,63.108043143
360,383.0,65.062794733
370,387.0,66.881373307
380,388.0,68.589636586
390,384.0,70.522896061
400,388.0,72.454151817
410,385.0,75.401791501
420,386.0,77.753884788
430,393.0,79.300538477
440,385.0,80.863368833
450,384.0,82.565001532
460,391.0,84.220671241
470,390.0,85.796045095
480,392.0,87.767966385
490,385.0,90.026205547
500,395.0,92.155685179
510,388.0,93.718139678
520,391.0,95.479650308
530,387.0,97.249974986
540,393.0,99.038991215
550,390.0,100.689851987
560,391.0,102.492672709
570,391.0,104.253152029
580,392.0,106.193039754
590,394.0,107.870637424
600,394.0,109.512116195
610,390.0,111.233138956
620,388.0,113.151857988
630,389.0,114.798015317
640,388.0,116.576496499
650,394.0,118.229519243
660,387.0,120.082719241
670,391.0,121.838251994
680,392.0,123.566820427
690,392.0,125.373548172
700,392.0,127.334318079
710,394.0,129.232418232
720,386.0,130.871716895
730,392.0,132.492769484
740,386.0,134.292347478
750,392.0,136.056100298
760,386.0,138.108872869
770,391.0,140.0252438
780,391.0,141.651302591
790,389.0,143.461244309
800,390.0,145.072815973
810,386.0,146.61313386
820,387.0,148.425736849
830,387.0,150.09217816
840,394.0,151.735219413
850,390.0,153.294471164
860,394.0,154.89540707
870,388.0,156.791830299
880,389.0,158.512223814
890,386.0,160.144593507
900,388.0,161.771621819
910,388.0,163.423871578
920,397.0,165.092042138
930,394.0,166.637747188
940,387.0,168.219494321
950,390.0,169.849736262
960,387.0,171.452570636
970,389.0,173.074781347
980,395.0,174.697442949
990,388.0,176.352396201
1000,393.0,177.984689054
1010,386.0,179.542586698
1020,389.0,181.287178602
1030,394.0,183.054037622
1040,388.0,184.828001216
1050,391.0,186.343357478
1060,391.0,187.914311313
1070,392.0,189.401367678
1080,389.0,191.171682388
1090,392.0,192.789888652
1100,392.0,194.437096958
1110,388.0,196.090952147
1120,391.0,197.732352887
1130,392.0,199.201864573
1140,389.0,200.828623725
1150,394.0,202.45286152
1160,397.0,204.170063384
1170,391.0,205.856194063
1180,391.0,207.459433562
1190,394.0,209.166357424
1200,392.0,210.876693193
1210,394.0,212.667716718
1220,392.0,214.362607575
1230,395.0,216.069211721
1240,384.0,217.665573777
1250,385.0,219.15611707
1260,390.0,220.789294464
1270,390.0,222.516932572
1280,391.0,224.05933058
1290,391.0,225.731567599
1300,389.0,227.524665947
1310,389.0,229.130956087
1320,390.0,230.757626457
1330,386.0,232.274177383
1340,391.0,233.916046756
1350,389.0,235.576327001
1360,390.0,237.247210881
1370,392.0,238.761536799
1380,390.0,240.269448147
1390,389.0,241.955274398
1400,390.0,243.567401949
1410,390.0,245.201238466
1420,394.0,246.801649508
1430,382.0,248.34373258
1440,387.0,250.051434289
1450,392.0,251.657425132
1460,388.0,253.247615647
1470,392.0,254.818168692
1480,387.0,256.363322365
1490,390.0,257.856383446
1500,387.0,259.516745552
1510,389.0,260.995392625
1520,394.0,262.79135881
1530,390.0,264.282279794
1540,388.0,266.020250766
1550,389.0,267.788875973
1560,391.0,269.529681727
1570,391.0,271.194037245
1580,385.0,272.879301847
1590,389.0,274.331920915
1600,388.0,275.796636332
1610,395.0,277.441606833
1620,394.0,279.103767277
1630,389.0,280.666637364
1640,391.0,282.422044308
1650,389.0,284.047104386
1660,388.0,285.641676764
1670,391.0,287.306478674
1680,387.0,288.949117223
1690,392.0,290.597940199
1700,389.0,292.300138254
1710,388.0,293.962685257
1720,384.0,295.580913427
1730,392.0,297.158577676
1740,394.0,298.694406194
1750,388.0,300.183495796
1760,390.0,301.823096444
1770,394.0,303.333917843
1780,390.0,305.052648541
1790,391.0,306.725469519
1800,389.0,308.198395058
1810,392.0,309.734745734
1820,387.0,311.368705706
1830,389.0,312.995158211
1840,390.0,314.468470543
