iterations,fitness,time
0,1.13823929261e-06,1.87979999999e-05
10,1.18022531411e-06,3.7039e-05
20,1.2057244283e-06,5.81340000001e-05
30,1.27992394628e-06,7.6725e-05
40,1.31034494313e-06,9.4721e-05
50,1.33346131715e-06,0.000109373
60,1.36729450879e-06,0.00012514
70,1.39329063285e-06,0.000144188
80,1.39362763028e-06,0.00016228
90,1.41627937577e-06,0.00018116
100,1.4199405001e-06,0.000200177
110,1.46051267784e-06,0.00022025
120,1.46763312756e-06,0.000239161
130,1.48460541811e-06,0.000288669
140,1.4852434043e-06,0.000343428
150,1.51541267141e-06,0.000377098
160,1.5584532698e-06,0.000399274
170,1.57558821681e-06,0.000416536
180,1.5879191001e-06,0.000436214
190,1.59919716088e-06,0.000455796
200,1.61838233285e-06,0.000536624
210,1.66948590023e-06,0.000554782
220,1.71616245816e-06,0.000574274000001
230,1.75394396896e-06,0.000589629000001
240,4990.06790879,0.000650229000001
250,5407.09631474,0.000668568000001
260,5452.48804369,0.000704518000001
270,5802.40875104,0.000720511000001
280,5802.40875104,0.000735146000001
290,5802.40875104,0.000750289000001
300,5802.40875104,0.000767591000001
310,5802.40875104,0.000788248000001
320,5802.40875104,0.000805866000001
330,5958.26285656,0.000823852
340,5958.26285656,0.00084114
350,5958.26285656,0.000883103
360,5958.26285656,0.000900517
370,5958.26285656,0.000958416
380,5958.26285656,0.000975812
390,5958.26285656,0.000995611
400,5958.26285656,0.001015488
410,5958.26285656,0.00103003
420,5958.26285656,0.001047189
430,5958.26285656,0.001062784
440,5958.26285656,0.00107621
450,5958.26285656,0.001090388
460,5958.26285656,0.001106938
470,5958.26285656,0.001124903
480,5958.26285656,0.001138808
490,5958.26285656,0.001158772
500,5958.26285656,0.001173748
510,5958.26285656,0.001187268
520,5958.26285656,0.001206613
530,5958.26285656,0.001219302
540,5958.26285656,0.001236324
550,5958.26285656,0.001255694
560,5958.26285656,0.001272129
570,5958.26285656,0.001288936
580,5958.26285656,0.001305466
590,5958.26285656,0.00132013
600,5958.26285656,0.001341647
610,5958.26285656,0.00136069
620,5958.26285656,0.001378339
630,5958.26285656,0.001395186
640,5958.26285656,0.00141134
650,5958.26285656,0.001428976
660,5958.26285656,0.001450995
670,5958.26285656,0.001468538
680,5958.26285656,0.001499639
690,5958.26285656,0.001518826
700,5958.26285656,0.001537956
710,5958.26285656,0.001555227
720,5958.26285656,0.001571787
730,5958.26285656,0.00159157
740,5958.26285656,0.001614627
750,5958.26285656,0.001645882
760,5958.26285656,0.001693324
770,5958.26285656,0.0017141
780,5958.26285656,0.001734052
790,5958.26285656,0.001754464
800,5958.26285656,0.00177364
810,5958.26285656,0.001791263
820,5958.26285656,0.001807275
830,5958.26285656,0.001822929
840,5958.26285656,0.001850061
850,5958.26285656,0.001865661
860,5958.26285656,0.001881986
870,5958.26285656,0.001899955
880,5958.26285656,0.001914702
890,5958.26285656,0.001929766
900,5958.26285656,0.001948534
910,5958.26285656,0.001970096
920,5958.26285656,0.001985883
930,5958.26285656,0.002003429
940,5958.26285656,0.002017251
950,5958.26285656,0.002030092
960,5958.26285656,0.002045484
970,5958.26285656,0.002063549
980,5958.26285656,0.002079695
990,5958.26285656,0.002099663
1000,5958.26285656,0.002116526
1010,5958.26285656,0.002133426
1020,5958.26285656,0.002165631
1030,5958.26285656,0.002184837
1040,5958.26285656,0.002201839
1050,5958.26285656,0.002219308
1060,5958.26285656,0.002235308
1070,5958.26285656,0.002254902
1080,5958.26285656,0.002277557
1090,5958.26285656,0.002294394
1100,5958.26285656,0.002364769
1110,5958.26285656,0.002383782
1120,5958.26285656,0.002398389
1130,5958.26285656,0.002417358
