iterations,fitness,time
0,131.0,2.05380000011e-05
10,127.0,3.72609999886e-05
20,127.0,5.29010000037e-05
30,129.0,6.68920000066e-05
40,134.0,8.14960000071e-05
50,135.0,0.000106851999988
60,130.0,0.000131691999968
70,133.0,0.000148584999977
80,132.0,0.000178345999984
90,135.0,0.000189622999983
100,131.0,0.000204303999965
110,134.0,0.000220080999981
120,131.0,0.000235208999982
130,118.0,0.000251204999984
140,121.0,0.000270579999977
150,129.0,0.000285544999969
160,131.0,0.000298824999959
170,131.0,0.000312473999941
180,134.0,0.000335013999944
190,141.0,0.000351585999937
200,145.0,0.000368695999953
210,147.0,0.000384288999953
220,150.0,0.000399701999953
230,151.0,0.000431657999968
240,155.0,0.000443895999979
250,159.0,0.000465417999976
260,161.0,0.000481854999975
270,163.0,0.000492972999979
280,167.0,0.000509277999981
290,169.0,0.000522712999981
300,170.0,0.000538447999958
310,171.0,0.000555988999963
320,172.0,0.00057174899996
330,179.0,0.000596651999956
340,180.0,0.000611722999963
350,184.0,0.000629401999959
360,187.0,0.000645155999962
370,188.0,0.000661733999948
380,193.0,0.000677715999956
390,194.0,0.000695963999931
400,194.0,0.000715412999938
410,196.0,0.000744624999925
420,199.0,0.000760675999913
430,202.0,0.000784058999898
440,204.0,0.000800740999892
450,204.0,0.000818015999897
460,206.0,0.000831983999888
470,206.0,0.000848648999892
480,207.0,0.000860694999886
490,207.0,0.000883508999891
500,210.0,0.000902645999872
510,210.0,0.000925985999856
520,211.0,0.000943431999843
530,211.0,0.000960510999846
540,212.0,0.000976074999841
550,214.0,0.000991932999852
560,219.0,0.00100699499984
570,220.0,0.00101884099985
580,223.0,0.00103365999985
590,226.0,0.00104603999984
600,226.0,0.00107081499982
610,228.0,0.00108187999982
620,230.0,0.0011002799998
630,233.0,0.0011218019998
640,238.0,0.0011395339998
650,238.0,0.00116073999982
660,238.0,0.00117852699981
670,239.0,0.00119590999981
680,243.0,0.0012126269998
690,249.0,0.00123300599981
700,249.0,0.00124393099981
710,252.0,0.00125443499979
720,252.0,0.00126551599979
730,252.0,0.00127600699977
740,252.0,0.00129203799978
750,252.0,0.00130253799978
760,252.0,0.00131663499977
770,252.0,0.00132701099977
780,255.0,0.00135446799976
790,255.0,0.00136501299977
800,255.0,0.00139328799978
810,255.0,0.00140378599977
820,255.0,0.00141462599976
830,260.0,0.00142570299974
840,260.0,0.00143892499975
850,263.0,0.00144947699974
860,264.0,0.00146069899972
870,264.0,0.0014872239997
880,264.0,0.0014973429997
890,267.0,0.00151263099968
900,269.0,0.00152477599968
910,275.0,0.00153495299969
920,275.0,0.0015511309997
930,277.0,0.0015924489997
940,277.0,0.00160472699972
950,277.0,0.00161631099971
960,279.0,0.00163606599972
970,279.0,0.00165250799972
980,279.0,0.00166772099973
990,283.0,0.00168277899974
1000,283.0,0.00169925999973
1010,286.0,0.00171704099975
1020,286.0,0.00173565599974
1030,286.0,0.00175143699974
1040,286.0,0.00176835299973
1050,286.0,0.00178286899973
1060,286.0,0.00181184799973
1070,287.0,0.00182377399972
1080,287.0,0.00184278599971
1090,288.0,0.0018623949997
1100,291.0,0.00188020099969
1110,295.0,0.0018982279997
1120,298.0,0.0019156999997
1130,298.0,0.0019305219997
1140,300.0,0.0019627369997
1150,303.0,0.00200624199971
1160,303.0,0.0020245929997
1170,306.0,0.00204171699971
1180,307.0,0.00205921199972
1190,307.0,0.00207675199971
1200,311.0,0.00209466899972
1210,311.0,0.0021117899997
1220,311.0,0.00212857799971
1230,311.0,0.00214681099973
1240,311.0,0.00216565999972
1250,311.0,0.00218117399973
1260,311.0,0.00219637399971
1270,314.0,0.00221104799971
1280,314.0,0.00222673199968
1290,314.0,0.00224182299968
1300,314.0,0.00225641799969
1310,317.0,0.0022715319997
1320,317.0,0.00228603699969
1330,317.0,0.0022981009997
1340,317.0,0.00231260599969
1350,320.0,0.00232651899969
1360,320.0,0.00234078799969
1370,320.0,0.00235488199971
1380,325.0,0.00236737099971
1390,325.0,0.00237830399971
1400,325.0,0.0023957919997
1410,328.0,0.00241164399972
1420,331.0,0.00242627599971
1430,334.0,0.0024471909997
1440,336.0,0.0024627759997
1450,336.0,0.00247795999971
